rowid,pl_hostname,pl_letter,pl_discmethod,pl_pnum,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbsmaxlim,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_orbeccenlim,pl_orbincl,pl_orbinclerr1,pl_orbinclerr2,pl_orbincllim,pl_bmassj,pl_bmassjerr1,pl_bmassjerr2,pl_bmassjlim,pl_bmassprov,pl_radj,pl_radjerr1,pl_radjerr2,pl_radjlim,pl_dens,pl_denserr1,pl_denserr2,pl_denslim,pl_ttvflag,pl_kepflag,pl_k2flag,pl_nnotes,ra_str,ra,dec_str,dec,st_dist,st_disterr1,st_disterr2,st_distlim,st_optmag,st_optmagerr,st_optmaglim,st_optmagblend,st_optband,st_teff,st_tefferr1,st_tefferr2,st_tefflim,st_teffblend,st_mass,st_masserr1,st_masserr2,st_masslim,st_massblend,st_rad,st_raderr1,st_raderr2,st_radlim,st_radblend,rowupdate
3223,WASP-10,b,Transit,1,3.0927616,1.12e-05,-1.12e-05,0.0,0.03781,0.00067,-0.00047,False,,,,,88.49,0.22,-0.17,0.0,3.15,0.13,-0.11,0.0,Mass,1.08,0.02,-0.02,False,4.14,0.27,-0.27,0.0,False,False,False,0,23h15m58.30s,348.992912,+31d27m46.3s,31.462852,90.0,20.0,-20.0,0.0,12.7,,False,False,V (Johnson),4675.0,100.0,,False,,0.75,0.04,,0.0,,0.7,0.01,,False,,2014-05-14
3224,WASP-100,b,Transit,1,2.849375,8e-06,-8e-06,0.0,0.0457,0.001,-0.001,False,0.0,,,0.0,82.6,2.6,-1.7,0.0,2.03,0.12,-0.12,0.0,Mass,1.69,0.29,-0.29,False,0.53,0.27,-0.27,0.0,False,False,False,0,04h35m50.33s,68.959728,-64d01m37.3s,-64.027039,,,,,,,,,,6900.0,120.0,-120.0,False,False,1.57,0.1,-0.1,0.0,False,,,,,,2014-05-14
3225,WASP-101,b,Transit,1,3.585722,4e-06,-4e-06,0.0,0.0506,0.0009,-0.0009,False,0.0,,,0.0,85.0,0.2,-0.2,0.0,0.5,0.04,-0.04,0.0,Mass,1.41,0.05,-0.05,False,0.24,0.03,-0.03,0.0,False,False,False,0,06h33m24.26s,98.351102,-23d29m10.4s,-23.48621,,,,,,,,,,6400.0,110.0,-110.0,False,False,1.34,0.07,-0.07,0.0,False,1.29,0.04,-0.04,False,False,2014-05-14
3226,WASP-103,b,Transit,1,0.925542,1.9e-05,-1.9e-05,0.0,0.01985,0.00021,-0.00021,False,,,,,86.3,2.7,-2.7,0.0,1.49,0.088,-0.088,0.0,Mass,1.528,0.073,-0.047,False,0.55,0.061,-0.07,0.0,False,False,False,0,16h37m15.57s,249.314868,+07d11m00.1s,7.183352,470.0,35.0,-35.0,0.0,12.1,,False,False,V (Johnson),6110.0,160.0,-160.0,False,False,1.22,0.04,-0.04,0.0,False,1.44,0.05,-0.03,False,False,2014-05-14
3227,WASP-104,b,Transit,1,1.7554137,1.8e-06,-3.6e-06,0.0,0.02918,0.00045,-0.00045,False,0.0,,,0.0,83.63,0.25,-0.25,0.0,1.272,0.047,-0.047,0.0,Mass,1.137,0.037,-0.037,False,1.074,0.088,-0.088,0.0,False,False,False,0,10h42m24.58s,160.602432,+07d26m06.1s,7.435026,143.0,10.0,-10.0,0.0,11.12,0.1,False,False,V (Johnson),5475.0,127.0,-127.0,False,False,1.08,0.05,-0.05,0.0,False,0.96,0.03,-0.03,False,False,2014-09-25
3228,WASP-106,b,Transit,1,9.289715,1e-05,-1e-05,0.0,0.0917,0.0014,-0.0014,False,0.0,,,0.0,89.49,0.35,-0.64,0.0,1.925,0.076,-0.076,0.0,Mass,1.085,0.046,-0.028,False,1.86,0.14,-0.2,0.0,False,False,False,0,11h05m43.14s,166.429747,-05d04m45.9s,-5.079412,283.0,21.0,-21.0,0.0,11.21,0.11,False,False,V (Johnson),6055.0,136.0,-136.0,False,False,1.19,0.05,-0.05,0.0,False,1.39,0.05,-0.03,False,False,2014-09-25
3230,WASP-113,b,Transit,1,4.54216875,4.2e-06,-4.2e-06,0.0,0.05885,0.0001,-0.0001,False,0.0,,,0.0,86.46,1.2,-0.64,0.0,0.475,0.054,-0.052,0.0,Mass,1.409,0.096,-0.14,False,0.228,0.073,-0.045,0.0,False,False,False,0,14h59m29.47s,224.872776,+46d57m36.4s,46.960117,360.0,70.0,-70.0,0.0,11.771,0.045,False,False,V (Johnson),5890.0,140.0,-140.0,False,False,1.32,0.07,-0.07,0.0,False,1.61,0.09,-0.12,False,False,2016-07-18
3231,WASP-114,b,Transit,1,1.5487743,1.2e-06,-9.1e-07,0.0,0.02851,0.00039,-0.00039,False,0.012,0.022,-0.009,0.0,83.96,0.9,-0.9,0.0,1.769,0.064,-0.064,0.0,Mass,1.339,0.064,-0.064,False,0.97,0.13,-0.13,0.0,False,False,False,0,21h50m39.46s,327.664437,+10d27m48.5s,10.463482,460.0,80.0,-80.0,0.0,12.743,0.148,False,False,V (Johnson),5940.0,140.0,-140.0,False,False,1.29,0.05,-0.05,0.0,False,1.43,0.06,-0.06,False,False,2016-07-18
3232,WASP-117,b,Transit,1,10.02165,0.00055,-0.00055,0.0,0.09459,0.00084,-0.00079,False,0.302,0.023,-0.023,0.0,89.14,0.3,-0.3,0.0,0.2755,0.009,-0.009,0.0,Mass,1.021,0.076,-0.065,False,0.3445,0.0718,-0.0638,0.0,False,False,False,0,02h27m06.10s,36.775432,-50d17m04.3s,-50.284519,,,,,10.15,,False,False,V (Johnson),6038.0,88.0,-88.0,False,False,1.13,0.03,-0.03,0.0,False,1.17,0.07,-0.06,False,False,2014-08-27
3233,WASP-119,b,Transit,1,2.49979,1e-05,-1e-05,0.0,0.0363,0.0007,-0.0007,False,0.058,,,1.0,85.0,2.0,-2.0,0.0,1.23,0.08,-0.08,0.0,Mass,1.4,0.2,-0.2,False,0.7,0.3,-0.3,0.0,False,False,False,0,03h43m44.03s,55.933441,-65d11m37.9s,-65.193855,333.0,29.0,-29.0,0.0,12.2,0.4,False,False,V (Johnson),5650.0,100.0,-100.0,False,False,1.02,0.06,-0.06,0.0,False,1.2,0.1,-0.1,False,False,2016-05-05
